Quarter,Year,Period,Region,Product,Is_Forecast,Revenue,COGS,R&D Spend,Marketing Spend,Administration,Total Costs,Profit,Margin_Pct,CI_Lower,CI_Upper
2022-Q1,2022,Q1,North America,Enterprise SaaS,False,2202916.1,768888.54,269486.42,322499.7,175407.98,1536282.65,666633.45,30.26,639968.12,693298.79
2022-Q1,2022,Q1,North America,Cloud AI Services,False,1426513.71,515049.18,262684.15,196899.13,115359.45,1089991.91,336521.8,23.59,323060.93,349982.67
2022-Q1,2022,Q1,North America,Edge Hardware,False,942204.76,485382.82,113885.29,124337.32,72776.02,796381.45,145823.31,15.48,139990.38,151656.24
2022-Q1,2022,Q1,Europe,Enterprise SaaS,False,1583563.77,543020.14,191819.12,215659.69,123106.74,1073605.7,509958.07,32.2,489559.75,530356.39
2022-Q1,2022,Q1,Europe,Cloud AI Services,False,1143316.03,398353.67,206213.8,153222.71,90469.44,848259.62,295056.41,25.81,283254.15,306858.67
2022-Q1,2022,Q1,Europe,Edge Hardware,False,723194.57,367404.3,87761.48,99422.85,57518.04,612106.67,111087.9,15.36,106644.39,115531.42
2022-Q1,2022,Q1,Asia-Pacific,Enterprise SaaS,False,1405341.7,510091.18,168572.72,190504.77,114276.87,983445.53,421896.17,30.02,405020.32,438772.01
2022-Q1,2022,Q1,Asia-Pacific,Cloud AI Services,False,913119.6,320926.88,154698.7,122743.02,73337.18,671705.78,241413.83,26.44,231757.27,251070.38
2022-Q1,2022,Q1,Asia-Pacific,Edge Hardware,False,658904.74,343804.79,78794.25,91413.39,51153.65,565166.07,93738.67,14.23,89989.12,97488.22
2022-Q2,2022,Q2,North America,Enterprise SaaS,False,2169572.49,752354.65,268605.31,306871.27,167445.73,1495276.96,674295.53,31.08,647323.71,701267.35
2022-Q2,2022,Q2,North America,Cloud AI Services,False,1508569.01,523932.69,266028.03,215075.24,123174.06,1128210.01,380359.0,25.21,365144.64,395573.36
2022-Q2,2022,Q2,North America,Edge Hardware,False,1029826.67,526521.68,122432.83,145608.54,83993.56,878556.62,151270.05,14.69,145219.25,157320.86
2022-Q2,2022,Q2,Europe,Enterprise SaaS,False,1643308.31,573022.24,190652.02,221807.07,133601.03,1119082.37,524225.94,31.9,503256.9,545194.98
2022-Q2,2022,Q2,Europe,Cloud AI Services,False,1177541.32,411545.9,218338.63,166644.32,92987.86,889516.7,288024.62,24.46,276503.64,299545.61
2022-Q2,2022,Q2,Europe,Edge Hardware,False,755395.84,404888.83,90550.07,110719.5,57265.36,663423.77,91972.07,12.18,88293.19,95650.96
2022-Q2,2022,Q2,Asia-Pacific,Enterprise SaaS,False,1538224.32,539315.8,182931.13,215944.23,118166.22,1056357.38,481866.94,31.33,462592.26,501141.62
2022-Q2,2022,Q2,Asia-Pacific,Cloud AI Services,False,984118.13,346901.43,184995.14,135634.37,77456.4,744987.35,239130.77,24.3,229565.54,248696.0
2022-Q2,2022,Q2,Asia-Pacific,Edge Hardware,False,648610.32,343452.26,78600.87,89362.29,52421.48,563836.9,84773.42,13.07,81382.48,88164.36
2022-Q3,2022,Q3,North America,Enterprise SaaS,False,2316750.86,826571.56,272154.77,321156.85,183886.6,1603769.78,712981.07,30.78,684461.83,741500.32
2022-Q3,2022,Q3,North America,Cloud AI Services,False,1448460.07,509963.45,262764.7,202815.52,115333.14,1090876.81,357583.25,24.69,343279.92,371886.58
2022-Q3,2022,Q3,North America,Edge Hardware,False,967615.27,498926.9,114920.02,132205.7,77159.52,823212.14,144403.13,14.92,138627.01,150179.26
2022-Q3,2022,Q3,Europe,Enterprise SaaS,False,1758816.03,638807.79,212163.31,248136.78,140495.78,1239603.66,519212.38,29.52,498443.88,539980.87
2022-Q3,2022,Q3,Europe,Cloud AI Services,False,1065332.34,372668.6,192106.31,160168.05,84898.7,809841.66,255490.68,23.98,245271.05,265710.31
2022-Q3,2022,Q3,Europe,Edge Hardware,False,778541.93,404560.75,90149.52,112732.76,63220.01,670663.04,107878.89,13.86,103563.74,112194.05
2022-Q3,2022,Q3,Asia-Pacific,Enterprise SaaS,False,1587207.25,545418.83,198480.36,212863.9,128466.92,1085230.02,501977.24,31.63,481898.15,522056.33
2022-Q3,2022,Q3,Asia-Pacific,Cloud AI Services,False,1115552.84,382708.52,197388.14,156644.3,88345.58,825086.54,290466.3,26.04,278847.64,302084.95
2022-Q3,2022,Q3,Asia-Pacific,Edge Hardware,False,641376.38,333973.05,74512.35,91068.45,50366.6,549920.45,91455.93,14.26,87797.69,95114.17
2022-Q4,2022,Q4,North America,Enterprise SaaS,False,2529342.38,871402.02,300588.51,362750.12,197366.15,1732106.8,797235.58,31.52,765346.16,829125.0
2022-Q4,2022,Q4,North America,Cloud AI Services,False,1602235.81,575442.99,274494.38,225555.49,128845.09,1204337.96,397897.86,24.83,381981.94,413813.77
2022-Q4,2022,Q4,North America,Edge Hardware,False,1091629.52,553604.31,125806.32,155221.15,87849.08,922480.87,169148.65,15.5,162382.7,175914.6
2022-Q4,2022,Q4,Europe,Enterprise SaaS,False,1804161.0,635831.69,212082.57,254342.44,145178.88,1247435.58,556725.42,30.86,534456.41,578994.44
2022-Q4,2022,Q4,Europe,Cloud AI Services,False,1156814.92,419993.71,211186.62,156165.99,93760.41,881106.74,275708.18,23.83,264679.85,286736.5
2022-Q4,2022,Q4,Europe,Edge Hardware,False,762942.95,402975.54,94735.35,104182.25,62211.44,664104.58,98838.37,12.95,94884.84,102791.91
2022-Q4,2022,Q4,Asia-Pacific,Enterprise SaaS,False,1614005.84,574189.71,204701.87,224297.37,127174.01,1130362.97,483642.87,29.97,464297.16,502988.59
2022-Q4,2022,Q4,Asia-Pacific,Cloud AI Services,False,1020863.34,351472.35,183330.37,144383.6,82121.01,761307.33,259556.01,25.43,249173.77,269938.25
2022-Q4,2022,Q4,Asia-Pacific,Edge Hardware,False,729033.42,379195.96,91298.84,101254.31,61495.62,633244.74,95788.68,13.14,91957.13,99620.23
2023-Q1,2023,Q1,North America,Enterprise SaaS,False,2517033.97,865859.43,292340.37,357485.23,200462.78,1716147.81,800886.16,31.82,768850.71,832921.61
2023-Q1,2023,Q1,North America,Cloud AI Services,False,1683806.89,594910.3,302423.04,229744.45,130623.41,1257701.2,426105.69,25.31,409061.46,443149.92
2023-Q1,2023,Q1,North America,Edge Hardware,False,1071875.93,566922.2,129451.25,144454.46,86047.08,926874.99,145000.94,13.53,139200.9,150800.98
2023-Q1,2023,Q1,Europe,Enterprise SaaS,False,1870069.53,642954.21,225443.26,262266.92,146185.67,1276850.06,593219.47,31.72,569490.69,616948.25
2023-Q1,2023,Q1,Europe,Cloud AI Services,False,1245360.98,440765.0,231448.44,179862.47,96883.77,948959.67,296401.31,23.8,284545.26,308257.36
2023-Q1,2023,Q1,Europe,Edge Hardware,False,787820.94,413886.75,95995.69,111999.15,67882.09,689763.67,98057.26,12.45,94134.97,101979.55
2023-Q1,2023,Q1,Asia-Pacific,Enterprise SaaS,False,1674435.74,599362.53,206682.98,239002.0,133110.22,1178157.73,496278.01,29.64,476426.89,516129.13
2023-Q1,2023,Q1,Asia-Pacific,Cloud AI Services,False,1124501.02,387492.06,200972.15,155137.82,90107.39,833709.42,290791.61,25.86,279159.94,302423.27
2023-Q1,2023,Q1,Asia-Pacific,Edge Hardware,False,794942.82,397932.83,97357.07,105907.52,62995.17,664192.6,130750.22,16.45,125520.21,135980.23
2023-Q2,2023,Q2,North America,Enterprise SaaS,False,2639652.56,925066.13,306516.77,361621.11,214042.45,1807246.47,832406.09,31.53,799109.85,865702.34
2023-Q2,2023,Q2,North America,Cloud AI Services,False,1637050.64,575448.2,295071.97,224706.94,136579.64,1231806.75,405243.88,24.75,389034.13,421453.64
2023-Q2,2023,Q2,North America,Edge Hardware,False,1152716.86,575134.84,139099.77,158176.38,93789.53,966200.52,186516.34,16.18,179055.69,193976.99
2023-Q2,2023,Q2,Europe,Enterprise SaaS,False,1836965.45,641462.54,223775.37,263854.69,143429.39,1272521.99,564443.46,30.73,541865.72,587021.2
2023-Q2,2023,Q2,Europe,Cloud AI Services,False,1247814.6,432586.6,220204.37,183946.47,100633.72,937371.16,310443.44,24.88,298025.7,322861.18
2023-Q2,2023,Q2,Europe,Edge Hardware,False,800632.92,423971.77,102192.6,115560.44,62104.3,703829.11,96803.82,12.09,92931.66,100675.97
2023-Q2,2023,Q2,Asia-Pacific,Enterprise SaaS,False,1653652.93,593443.74,194225.49,234593.89,134341.8,1156604.92,497048.01,30.06,477166.09,516929.93
