R&D Spend,Administration,Marketing Spend
131958,170420,73686
156867,153691,67661
141932,156306,44247
113694,147856,245121
129879,88304,147820
120268,161783,266765
64886,119449,146106
147337,132986,258930
178266,139643,136194
97498,70764,280174
122727,158940,38638
136324,136027,118033
185203,88494,105977
26023,53373,88869
51090,62161,105186
77221,147532,296818
74820,142658,166926
10769,173633,46271
69735,150386,141339
74925,77350,221897
15311,143008,1062
113355,144297,247736
194779,75351,50448
95305,138668,95462
169765,164585,245885
140608,65305,47915
166730,125353,266776
94478,126797,104592
132537,115953,134668
159503,107458,108099
140523,157112,7561
12747,70358,82152
133855,53267,125036
75725,132745,26734
139981,139588,26069
94654,88513,210977
176845,76092,12910
129346,61338,81264
77435,50412,23275
66886,57543,72274
76803,155891,191076
41551,83496,194053
126216,110692,185625
21394,139084,48447
79092,142920,75703
13890,173555,279404
51606,94425,112581
97313,88756,265956
151699,68888,189728
18792,85735,116421
184073,97295,1605
164969,167474,72303
78148,164352,158211
134243,133042,187210
130174,135999,261949
164555,67955,144990
134358,87841,158518
58555,120640,124040
27159,115510,144118
120510,84911,231966
116530,109031,266468
90077,138726,271255
45920,57357,16389
29457,82479,122177
88953,111476,159818
62995,94811,122883
181829,86208,218958
19692,70150,238213
186830,121180,112221
47065,93286,275378
109299,162856,260669
173678,118450,234936
21534,71352,846
50397,105069,10954
101387,161888,244761
11016,160448,137541
65591,64397,64323
33247,91555,91922
34300,96959,189139
92798,50728,180448
19268,100517,176659
96807,169180,235659
22185,116234,104537
180171,89954,241983
149643,97280,42533
48044,129459,263972
61214,66779,1917
124752,113932,282762
58984,122936,32254
50774,74466,261987
12568,86939,47362
130151,119896,282272
143767,85270,242353
134375,109163,190455
189262,132637,65545
146330,101934,82180
49504,114895,87958
174231,82307,5287
23986,104098,257665
71858,110921,8512
139312,55486,132414
22666,58335,108872
48660,136900,247754
144633,176020,93070
36854,171954,79767
74505,152795,97829
114488,139112,42078
193323,147203,83524
32662,61130,227645
18392,137508,12219
40535,155955,262379
123569,168324,127309
62256,110566,139639
99135,116703,196513
137478,77192,248320
45222,51062,136487
87373,134076,167231
133684,139780,43925
20965,71545,137023
34538,71689,87388
118066,61174,8007
123252,138461,257802
149182,176174,58596
168338,153033,255266
194064,59348,15524
108806,73714,155002
147982,88102,125501
120989,124460,282755
100982,152634,148056
131626,139930,14060
129176,56801,214057
141278,153150,190279
132409,122267,206118
33419,98136,160359
191708,73625,39711
60015,132873,143026
132096,150843,218134
117059,122592,102974
195340,127052,149646
120687,94261,150168
97939,51542,67728
159213,71677,165088
115878,96732,11246
197116,100343,92263
174899,89081,11302
196892,112856,41157
72623,143105,54917
85450,138858,223810
103426,69065,96646
127845,174097,286663
163371,133460,267552
53585,138092,59379
119225,176116,25053
74044,104693,131994
183629,76962,98723
190152,78295,51356
119556,63807,272933
12693,92348,32154
105259,76432,213942
35939,133285,264480
189997,156995,281173
184013,141792,32265
162906,107854,243322
28047,90262,174944
36105,87080,46197
85766,51324,154782
156779,141267,160558
163048,174707,71907
54262,85909,202967
135117,139339,232604
33776,69870,282247
171152,84578,64772
138376,122124,126108
147848,167611,14382
102787,153605,84291
137948,76790,134828
65016,168874,282753
150546,75289,147550
199125,105129,232050
31959,143714,130330
146602,144246,71315
129101,65485,14153
13748,94482,76325
23545,136188,240773
137659,54748,55318
175838,136769,76077
83530,59435,133515
103557,53709,206988
71087,173961,125885
78840,80355,17368
128451,105771,146400
195456,107799,188014
61005,63116,91751
187648,75470,230203
49353,92344,289450
62733,92918,170987
75318,102224,299363
164736,89298,211951
77172,158492,195716
103264,130219,60279
36736,111629,126
122859,116040,27632
122181,149518,196382
141926,149835,109945
100084,78016,250869
179695,73960,217138
17392,83591,175399
65680,132848,134869
187789,153333,178954
60859,161732,144790
135657,164821,34560
167381,117641,284260
80467,86395,132717
193734,161276,178595
108506,179695,124085
119751,72700,281400
128906,84620,100158
153760,153214,184245
35342,178148,168502
178229,70559,142766
116308,143045,57545
193155,143396,13224
116081,111642,40738
99045,126539,180760
44698,71732,239690
120078,178675,139649
90623,141362,8070
32671,80354,126161
166256,63843,8666
103384,160008,298512
183179,164065,137855
96202,121726,41914
61663,67640,201579
25708,102528,127738
101906,88413,246965
59811,178142,282100
143883,102638,218967
